entity,field,missing,missing_pct
video,ccid,0,0.0
video,name,0,0.0
video,start,0,0.0
video,end,0,0.0
video,text,0,0.0
course,id,0,0.0
course,name,0,0.0
course,about,65,1.7191219254165564
course,field,3234,85.53292779687914
course,prerequisites,2580,68.23591642422639
course,resource,0,0.0
concept,id,0,0.0
concept,name,0,0.0
user,id,0,0.0
user,gender,54,0.001621478464063533
user,school,2201895,66.11713560424396
user,year_of_birth,3281764,98.5427712988703
user,course_order,0,0.0
user,enroll_time,0,0.0
