concept_id,video_count
K_行_计算机科学与技术,3647
K_类_计算机科学与技术,2080
K_实现_计算机科学与技术,1958
K_写_计算机科学与技术,1933
K_根_计算机科学与技术,1849
K_方法_计算机科学与技术,1760
K_图_计算机科学与技术,1693
K_步_计算机科学与技术,1659
K_程序_计算机科学与技术,1635
K_时_中国语言文学,1462
K_度_计算机科学与技术,1409
K_操作_计算机科学与技术,1351
K_位_计算机科学与技术,1237
K_计算_计算机科学与技术,1191
K_时间_计算机科学与技术,1187
K_执行_计算机科学与技术,1109
K_继续_计算机科学与技术,1016
K_等_中国语言文学,983
K_用户_计算机科学与技术,975
K_区_计算机科学与技术,930
K_现在_物理学,926
K_方面_计算机科学与技术,849
K_块_计算机科学与技术,807
K_清_中国语言文学,796
K_类型_计算机科学与技术,794
K_同_化学,792
K_通_电子科学与技术,787
K_读_计算机科学与技术,736
K_格_计算机科学与技术,710
K_控制_计算机科学与技术,686
K_项_计算机科学与技术,686
K_美_中国语言文学,662
K_条件_计算机科学与技术,659
K_第一_临床医学,657
K_地址_计算机科学与技术,648
K_源_计算机科学与技术,642
K_差_计算机科学与技术,634
K_词_中国语言文学,621
K_支持_计算机科学与技术,566
K_数_中国语言文学,546
K_任务_计算机科学与技术,524
K_键_计算机科学与技术,504
K_间_建筑学,502
K_里_建筑学,500
K_电压_电子科学与技术,497
K_推_计算机科学与技术,497
K_网_计算机科学与技术,496
K_错误_计算机科学与技术,485
K_基_管理科学与工程,477
K_获取_计算机科学与技术,471
K_初始化_计算机科学与技术,469
K_运算_计算机科学与技术,459
K_学_临床医学,457
K_切_计算机科学与技术,449
K_实例_计算机科学与技术,447
K_遍_计算机科学与技术,445
K_特_化学,441
K_字符_计算机科学与技术,437
K_模型_计算机科学与技术,433
K_数字_计算机科学与技术,433
K_编程_计算机科学与技术,430
K_声_中国语言文学,421
K_需求_计算机科学与技术,420
K_串_计算机科学与技术,419
K_有_哲学,419
K_分子_化学,409
K_和_药学,401
K_字符串_计算机科学与技术,398
K_例_中国语言文学,395
K_要求_管理科学与工程,383
K_单元_计算机科学与技术,381
K_查找_计算机科学与技术,378
K_光_物理学,378
K_作_建筑学,377
K_转_中国语言文学,375
K_建筑_建筑学,371
K_语句_计算机科学与技术,370
K_指令_计算机科学与技术,365
K_能量_物理学,363
K_数组_计算机科学与技术,360
K_结_电气工程,352
K_跳_计算机科学与技术,351
K_实验_物理学,350
K_规则_计算机科学与技术,349
K_指针_计算机科学与技术,343
K_生产_管理科学与工程,342
K_单位_物理学,341
K_电流_电气工程,341
K_流_计算机科学与技术,341
K_几_建筑学,337
K_道_哲学,333
K_影_物理学,333
K_正常_临床医学,332
K_发现_管理科学与工程,330
K_课_教育学,325
K_字节_计算机科学与技术,323
K_列表_计算机科学与技术,321
K_法_化学,318
K_化合物_化学,317
K_命令_计算机科学与技术,312
K_建议_计算机科学与技术,310
K_机制_计算机科学与技术,309
K_前面_机械工程,309
K_关系_心理学,305
K_4_化学,304
K_读取_计算机科学与技术,302
K_造_建筑学,302
K_天_哲学,301
K_性_哲学,301
K_发展_管理科学与工程,300
K_数据结构_计算机科学与技术,296
K_像_机械工程,288
K_意义_中国语言文学,287
K_进程_计算机科学与技术,285
K_酸_化学,285
K_页_计算机科学与技术,283
K_电_物理学,279
K_视频_计算机科学与技术,279
K_带_临床医学,278
K_物_物理学,277
K_堆_计算机科学与技术,268
K_识别_计算机科学与技术,266
K_赋值_计算机科学与技术,262
K_屏幕_计算机科学与技术,262
K_搜索_计算机科学与技术,262
K_注意_心理学,262
K_教学_教育学,261
K_能力_管理科学与工程,259
K_系数_物理学,259
K_声明_计算机科学与技术,258
K_C语言_计算机科学与技术,255
K_框架_计算机科学与技术,253
K_离子_化学,253
