video_id,events,users,content_seconds,ccid,rank
V_1395633,48246,45234,6404691.979235359,98742EFD5E62CAF59C33DC5901307461,1
V_6043065,33680,181,690064.4999999994,5B96029FBD4A8CF09C33DC5901307461,2
V_1395634,31327,28950,2660740.807161296,9232E85E65B3F1C39C33DC5901307461,3
V_7427162,29884,157,219641.15,170B25CA7EDDEC129C33DC5901307461,4
V_6043067,29267,149,506822.00000000134,41C0E8B591E095359C33DC5901307461,5
V_6043034,28036,142,431487.75000000023,AD38F0333DCFD93B9C33DC5901307461,6
V_7427163,26938,145,202047.25,1A050F07783869079C33DC5901307461,7
V_8014850,26208,25,137936.0,2AE035AC60A9C09F9C33DC5901307461,8
V_7427173,25865,183,223574.2,B482F967992FEDE79C33DC5901307461,9
V_6043037,25191,148,360337.5,3CDEE151DD65F5749C33DC5901307461,10
V_7427161,24636,145,180428.1,2F0AF6F8B03E08DD9C33DC5901307461,11
V_6043036,24340,166,384879.69999999984,C99194C4BF0F06189C33DC5901307461,12
V_8014851,24221,29,132370.0,3CDAAE7CFFDD99859C33DC5901307461,13
V_1395635,23313,21722,1550494.5245068814,1555F0E7D894E1859C33DC5901307461,14
V_7427165,22350,149,167669.5,46ADDE6DFCE873309C33DC5901307461,15
V_7427154,21770,181,174786.15,E935565BA687DB4A9C33DC5901307461,16
V_6043038,21486,166,358771.7,D5404B143F1DBF5F9C33DC5901307461,17
V_7427175,21287,159,172360.0,4568C05635559CA79C33DC5901307461,18
V_7427164,21106,147,158906.5,8901026DB6021DE29C33DC5901307461,19
V_8014858,20897,23,107494.0,0FEFE34998A087289C33DC5901307461,20
V_6043035,20836,149,341360.69999999995,107FD4E4305C0D599C33DC5901307461,21
V_8014838,20711,22,108010.6,3F820DBC96187B2E9C33DC5901307461,22
V_7004647,20279,132,130870.1,DBDB6DF8FFB69B069C33DC5901307461,23
V_6059422,20113,142,310447.60000000003,0F5DFFD21233E1A69C33DC5901307461,24
V_7004654,19727,142,158528.90000000002,E076F4F39D8CCEB49C33DC5901307461,25
V_7004648,19600,138,136407.95,0F21EA2CB5AEF4B19C33DC5901307461,26
V_8014864,19588,20,99089.9,1C4780257F07B4439C33DC5901307461,27
V_7004652,19531,152,157490.6,FA88F2B3FC1DA2049C33DC5901307461,28
V_7427177,19488,126,141479.75,D1C049ADBDDF4B0D9C33DC5901307461,29
V_7427178,19273,143,144735.0,10770F97FB8F26089C33DC5901307461,30
V_1358540,19098,17865,2135893.5977647323,30BB198AD98E3C0E9C33DC5901307461,31
V_7427146,19028,153,146817.75,A55F9670BB33B7819C33DC5901307461,32
V_7004649,18942,136,132411.25,E0B57C9CD904F45D9C33DC5901307461,33
V_1395636,18856,17464,1150796.0149075591,4ACDB16216EB28399C33DC5901307461,34
V_7427194,18617,139,147446.75,59A0F69F35C96F869C33DC5901307461,35
V_7004653,18508,110,110103.15,0B2B300980186B9F9C33DC5901307461,36
V_7004650,18448,156,145780.05,9A96A435431542D39C33DC5901307461,37
V_6026303,18297,144,290756.70000000024,8F5D6058A7EB8C229C33DC5901307461,38
V_7004642,18269,151,137418.5,FD23FE087703A2479C33DC5901307461,39
V_8014843,18202,24,94461.1,EDAD31A6838798499C33DC5901307461,40
V_7427139,18194,139,140143.7,5AF0230FB088ACE99C33DC5901307461,41
V_7004635,18108,131,127198.0,0489E1F5F0A121149C33DC5901307461,42
V_7004695,18068,166,151966.5,176CB9431CB363909C33DC5901307461,43
V_8014822,18061,17,91077.0,6FB7C3D5836556449C33DC5901307461,44
V_7427174,18004,144,142507.1,D5EBD7948D9149749C33DC5901307461,45
V_8014846,17793,25,93021.0,38E79D4FAE0B858B9C33DC5901307461,46
V_7427135,17778,165,153586.05,3A8B90EAB51A5BF19C33DC5901307461,47
V_7427202,17660,128,136687.8,F52220BA5D4E9EF59C33DC5901307461,48
V_7004644,17464,150,154984.45,BB549545DFB4C3199C33DC5901307461,49
V_7427166,17299,140,138552.0,E4D3D2F15A9834049C33DC5901307461,50
V_7427156,17292,167,148207.5,D8DA4CA682FF8FCE9C33DC5901307461,51
V_7004636,17118,131,123991.0,DFC9C7FB34F82FD89C33DC5901307461,52
V_7427192,16962,126,129554.55,D40A61AB26FE16799C33DC5901307461,53
V_7004634,16906,144,142868.5,0DB67705C2C0B5119C33DC5901307461,54
V_7004637,16897,157,145572.75,285F23268616E26A9C33DC5901307461,55
V_7004643,16869,126,124747.0,7EAA1711A6C4B4019C33DC5901307461,56
V_7427176,16779,129,128019.45,6CFB3A74F65564C49C33DC5901307461,57
V_7427220,16631,116,128688.75,25D1AF5B11FCF3559C33DC5901307461,58
V_8013814,16523,13,83745.0,EF3A569E63CBFF1A9C33DC5901307461,59
V_8013839,16353,13,83196.2,61508D52D75FF2099C33DC5901307461,60
V_6043053,16276,134,246282.30000000013,304D06F0510274079C33DC5901307461,61
V_7004645,16244,116,110320.0,5C91BE711BBC14029C33DC5901307461,62
V_1395637,16233,15073,1085125.8238399993,6E115255ECD8EA979C33DC5901307461,63
V_8013837,16216,11,82577.0,26D6189F5706E18F9C33DC5901307461,64
V_8014868,16180,23,81906.0,CC9B6F870D52971B9C33DC5901307461,65
V_8014814,16143,18,83381.0,E412414F4BA5433F9C33DC5901307461,66
V_6043054,16058,129,241998.75000000003,DDFE127DAD699DEC9C33DC5901307461,67
V_7427236,15766,144,165492.30000000002,4BE9A888674C57939C33DC5901307461,68
V_8014869,15678,20,80030.4,65A38A2D213BBB4F9C33DC5901307461,69
V_7004620,15627,180,142834.40000000002,8C3BD9BE6B3DDFAB9C33DC5901307461,70
V_1395641,15596,14356,4049222.642517265,D0FE264EEE7083189C33DC5901307461,71
V_8014823,15538,20,78095.0,B86BA20DA5E4A9E19C33DC5901307461,72
V_7427157,15532,130,114170.75,58543120800866E09C33DC5901307461,73
V_7004626,15517,172,155666.25,8084FC8E5B3D89B19C33DC5901307461,74
V_8014828,15466,26,80363.0,688C603DFA5757889C33DC5901307461,75
V_8014836,15452,20,79529.0,7EF23B202683A6A19C33DC5901307461,76
V_8014845,15446,28,80951.0,3B4B1BC7C8207F5F9C33DC5901307461,77
V_1395638,15431,14350,1262045.5346601638,7005A8604CF65A6A9C33DC5901307461,78
V_8014844,15409,23,80173.0,CCD16342A15E238E9C33DC5901307461,79
V_7427145,15357,133,114942.9,ADE0CF1A87A87D329C33DC5901307461,80
V_7427219,15235,116,122799.0,32A0CC61E4B7B0889C33DC5901307461,81
V_8014857,15204,25,80122.0,5A050C220A12A6959C33DC5901307461,82
V_8013829,15152,13,77674.7,086E566495E65D499C33DC5901307461,83
V_7720318,15083,12,76754.2,F77B4AFB41CD64549C33DC5901307461,84
V_7427136,15030,142,121462.79999999999,6BD58EBD3191E7AB9C33DC5901307461,85
V_7004621,15017,183,147605.75,48758EBF534C89999C33DC5901307461,86
V_8014826,14997,17,75493.0,7AF350FB59F419EE9C33DC5901307461,87
V_7427138,14723,145,120972.25,94D392F88D55E14D9C33DC5901307461,88
V_8014873,14521,21,74425.3,D6B6602EB45C32739C33DC5901307461,89
V_8013844,14471,11,72901.0,E099757DB06108ED9C33DC5901307461,90
V_7720320,14394,12,72328.0,51EE921FB98FF2889C33DC5901307461,91
V_7427137,14387,154,123916.7,14566911ADA10BB69C33DC5901307461,92
V_7004617,14356,257,187274.7,1BD87F72FE92B6789C33DC5901307461,93
V_8013822,14294,11,72541.0,754BB276EFD86F709C33DC5901307461,94
V_7192338,14267,52,84152.7,AC69295F8A7F63A29C33DC5901307461,95
V_7004632,14200,146,126812.45,DF13DE986879764F9C33DC5901307461,96
V_1395639,14013,13307,975797.3523073322,8E136953208995509C33DC5901307461,97
V_7004618,14011,186,136717.15,06EEF66C7C9265D39C33DC5901307461,98
V_7004624,14006,162,131358.65,89DC266BF7534A079C33DC5901307461,99
V_8013804,14005,13,71133.2,8ECBFD22D3692C879C33DC5901307461,100
V_8014865,13993,21,70882.8,56308CC0429B82E79C33DC5901307461,101
V_7192305,13915,60,87497.95,7F896AE5F1C840FD9C33DC5901307461,102
V_7720321,13848,14,70201.0,893753076FAE3C989C33DC5901307461,103
V_7427239,13830,112,116337.09999999999,838B33C6DFBEC1519C33DC5901307461,104
V_7004622,13797,183,154563.65,F360E8710B4840BF9C33DC5901307461,105
V_8013819,13629,12,69264.0,F274138DE806A28B9C33DC5901307461,106
V_7004625,13590,164,143073.15,4FCB5C38F86AB17E9C33DC5901307461,107
V_8013805,13446,14,67476.5,AFB71DDD8252C85A9C33DC5901307461,108
V_8014859,13438,19,68535.0,FF3E145683FB1C9F9C33DC5901307461,109
V_7427222,13389,112,104903.25,BF172E0E2B19C1A39C33DC5901307461,110
V_8014875,13374,19,68164.2,DE9F6B5B4B57E7DC9C33DC5901307461,111
V_8014874,13354,20,66985.7,C779640DEDEA5C889C33DC5901307461,112
V_8014808,13231,14,66911.0,9F62A89D524E51149C33DC5901307461,113
V_8014830,13213,21,66936.0,D3896EB82A5010439C33DC5901307461,114
V_7427205,13165,105,99395.25,DF36C6AACCA52FCA9C33DC5901307461,115
V_1395643,13155,11843,1526953.6856385441,71701ECA98F7BF589C33DC5901307461,116
V_7004627,12999,188,169490.75,ECA5D953992C83CD9C33DC5901307461,117
V_7592185,12969,49,79688.79999999999,229DFDF658B4DA299C33DC5901307461,118
V_7004639,12952,156,126325.4,1ED7D167AFA302579C33DC5901307461,119
V_7592189,12930,37,78916.4,89BEEA831752F90C9C33DC5901307461,120
V_7720304,12863,13,66856.0,F45A610989D587779C33DC5901307461,121
V_8013803,12843,11,64739.9,A1E126927A76F5B69C33DC5901307461,122
V_7004640,12833,201,176032.15,B5B97EA6AE16E1AC9C33DC5901307461,123
V_8014831,12826,20,65669.0,CC29D6B3971C26CC9C33DC5901307461,124
V_7004711,12820,150,96782.4,7F09DC704F25993A9C33DC5901307461,125
V_7004687,12560,154,108145.7,7E7E4CFB1DA241BF9C33DC5901307461,126
