birth_year,users
1111,1
1181,1
1200,1
1276,1
1318,1
1404,1
1450,1
1478,1
1568,1
1588,1
1692,1
1827,1
1868,1
1870,1
1905,1
1906,1
1915,1
1950,1
1960,1
1961,1
1962,2
1963,1
1964,2
1965,6
1966,2
1967,2
1968,6
1969,5
1970,14
1971,5
1972,16
1973,10
1974,15
1975,9
1976,12
1977,15
1978,24
1979,28
1980,27
1981,16
1982,30
1983,15
1984,21
1985,14
1986,24
1987,34
1988,20
1989,25
1990,21
1991,26
1992,53
1993,51
1994,64
1995,97
1996,187
1997,258
1998,141
1999,20
2000,18
2001,4
2002,2
2003,1
2004,2
2005,1
2007,1
2009,1
2012,1
2015,5
2016,443
2017,1
2018,1
2019,3
2020,46524
2022,1
2025,1
2049,1
2184,1
2276,1
2277,1
2655,1
2737,1
2889,1
2957,1
2971,1
2982,1
2995,1
3012,1
3177,1
3246,1
3461,1
3580,1
3590,1
3602,1
3674,1
3702,1
3737,1
3753,1
3815,1
3964,1
4060,1
4098,1
4120,1
4212,1
4282,1
4303,1
4375,1
4438,1
4473,1
4601,1
4608,1
4622,1
4629,1
4689,1
4747,1
4791,1
4825,1
4846,1
4887,1
4905,1
4928,1
5163,1
5167,1
5218,1
5284,1
5327,1
5612,1
5616,1
5630,1
5764,1
6051,1
6071,1
6213,1
6259,1
6266,1
6296,1
6422,1
6437,1
6521,1
6558,1
6622,1
6760,1
6798,1
6876,1
6899,1
6903,1
6935,1
6945,1
7034,1
7035,1
7095,1
7184,1
7229,1
7305,2
7488,1
7527,1
7562,1
7580,1
7641,1
7706,1
7760,1
7774,1
7790,1
7813,1
7824,1
8054,1
8081,1
8112,1
8145,1
8227,1
8243,1
8249,1
8289,1
8314,1
8460,1
8799,1
8902,1
9029,1
9033,1
9041,1
9048,1
9058,1
9099,1
9136,1
9186,1
9201,1
9219,2
9244,1
9253,1
9259,1
9292,1
9294,1
9300,1
9325,1
9355,1
9365,1
9408,1
9409,1
9413,1
9421,1
9423,1
9425,1
9446,1
9466,1
9501,1
9510,1
9541,1
9547,1
9563,1
9592,2
9600,1
9601,1
9620,1
9621,1
9632,1
9640,1
9646,1
9654,1
9674,1
9695,1
9696,1
9728,1
9758,1
9764,1
9770,1
9775,1
9777,1
9779,1
9784,1
9787,1
9791,1
9792,1
9807,1
9811,1
9816,2
9820,1
9831,1
9836,1
9838,1
9855,1
9872,1
9879,1
9887,1
9908,2
9913,1
9920,1
9928,1
9939,1
9945,1
9972,1
9983,1
9984,1
9989,1
