courses,users
1,2131598
2,504167
3,204268
4,108360
5,67936
6,48020
7,34035
8,25554
9,19728
10,15925
11,12636
12,10313
13,8555
14,7305
15,6078
16,5247
17,4563
18,3949
19,3516
20,2938
21,2617
22,2391
23,2102
24,1841
25,1680
26,1479
27,1293
28,1302
29,1145
30,1009
31,1052
32,948
33,819
34,774
35,713
36,809
37,834
38,827
39,950
40,1165
41,1222
42,1511
43,1886
44,2032
45,2448
46,2813
47,3194
48,3460
49,3957
50,4026
51,4313
52,4351
53,4507
54,4355
55,4159
56,3908
57,3575
58,3280
59,3024
60,2692
61,2324
62,1943
63,1556
64,1389
65,1067
66,856
67,701
68,555
69,412
70,338
71,262
72,230
73,168
74,128
75,107
76,105
77,79
78,76
79,92
80,61
81,68
82,76
83,50
84,54
85,64
86,45
87,53
88,60
89,49
90,51
91,48
92,43
93,41
94,37
95,41
96,38
97,26
98,41
99,41
100,41
101,37
102,35
103,41
104,26
105,39
106,28
107,31
108,24
109,27
110,29
111,24
112,27
113,31
114,25
115,22
116,18
117,20
118,21
119,22
120,21
121,19
122,20
123,23
124,14
125,12
126,14
127,23
128,23
129,12
130,19
131,19
132,13
133,18
134,8
135,14
136,18
137,14
138,13
139,12
140,7
141,11
142,16
143,7
144,8
145,11
146,10
147,9
148,13
149,14
150,9
151,7
152,5
153,7
154,12
155,7
156,11
157,7
158,11
159,4
160,7
161,11
162,10
163,8
164,6
165,10
166,8
167,10
168,5
169,4
170,8
171,7
172,12
173,8
174,9
175,8
176,5
177,2
178,6
179,3
180,10
181,6
182,3
183,5
184,5
185,4
186,7
187,8
188,5
189,9
190,3
191,5
192,9
193,6
194,12
195,11
196,8
197,5
198,4
199,4
200,8
201,5
202,6
203,1
204,2
205,4
206,5
207,3
208,6
209,5
210,2
211,6
212,5
213,2
214,5
215,3
216,2
217,5
218,8
219,5
220,5
221,4
222,3
223,4
224,1
225,3
226,1
227,3
228,2
229,5
230,1
231,4
232,4
233,3
235,3
236,1
237,3
238,4
239,5
240,4
242,3
243,2
244,3
245,4
246,4
247,2
248,1
249,3
250,6
251,1
252,3
253,2
254,2
255,4
256,3
257,1
258,2
259,2
260,1
261,1
262,3
263,3
264,2
266,3
267,3
268,1
269,1
270,1
271,1
272,1
273,3
274,3
275,1
276,1
277,1
278,1
279,1
280,2
281,1
282,3
283,3
285,1
286,1
289,2
290,1
291,2
293,1
294,1
297,2
298,1
300,1
301,2
302,1
303,5
304,2
305,1
307,1
308,1
314,2
315,1
320,1
321,2
324,2
326,2
328,1
333,3
335,2
337,5
338,2
339,2
341,1
347,2
351,1
352,1
354,1
356,1
357,1
359,1
363,4
365,1
366,1
367,1
371,1
379,2
380,1
381,2
382,1
384,1
385,1
386,1
387,1
390,1
391,1
394,1
395,1
399,1
401,1
404,1
407,2
408,1
410,1
411,1
412,2
417,1
420,1
422,1
423,1
427,1
430,1
432,1
437,1
438,1
445,1
447,1
450,1
455,1
458,1
460,1
468,1
469,1
474,1
475,1
476,1
485,1
488,1
504,2
505,1
512,1
515,1
521,1
529,1
531,1
537,1
539,1
547,2
551,1
569,1
570,1
578,1
581,1
582,1
584,1
592,1
612,1
614,1
616,1
643,1
646,1
651,1
658,1
677,1
724,1
729,1
763,1
790,1
907,1
955,1
1011,1
1077,1
1116,2
1148,1
1202,1
1231,1
1400,1
1448,1
1529,1
1620,1
1856,1
1862,1
1887,1
1945,1
1976,1
2000,1
3715,1
