Epoch,TrainLoss,Val_Accuracy@1,Val_MRR,Val_MeanRank,Val_MedianRank,Val_Precision@5,Val_Recall@5,Val_F1@5,Val_NDCG@5,Val_MAP@5,Val_Precision@10,Val_Recall@10,Val_F1@10,Val_NDCG@10,Val_MAP@10,Val_Precision@20,Val_Recall@20,Val_F1@20,Val_NDCG@20,Val_MAP@20,Val_CatalogCoverage@10,Val_Loss,Seconds
1,2.846502541846112,0.04312083139444703,0.09507952776056434,187.8231735691019,61.0,0.02480223359702187,0.12401116798510935,0.04133705599503645,0.08170240717150443,0.06802517967013082,0.020908949899177912,0.20908949899177912,0.03801627254395984,0.10855035162756677,0.07872229239144084,0.016185822863347292,0.32371645726694587,0.030830138787328175,0.13765065339426963,0.0867665161983961,0.3675584478187515,6.60031334315046,32.80565857887268
2,1.932622236614186,0.038932836978439585,0.11365100785485201,137.57592678765317,34.0,0.029579649449356288,0.14789824724678144,0.04929941574892715,0.09713173104641919,0.08026084483739206,0.02503489995346673,0.25034899953466727,0.04551799991539405,0.12999310747311943,0.09366091894593523,0.019361718628819604,0.3872343725763921,0.036879464054894485,0.1645968439210367,0.10314733393672838,0.4138346589539648,5.801426369921633,32.34622097015381
3,1.4848862214547613,0.047851713975492476,0.12387659848110065,113.08709477276253,26.0,0.03246471226927253,0.16232356134636264,0.05410785378212088,0.10540898549369707,0.08680781758957655,0.02774158523344191,0.2774158523344191,0.050439245878985295,0.14261035240784425,0.10215287164449566,0.022487203350395533,0.44974406700791064,0.042832768286467676,0.18592043913891135,0.1139039397153096,0.4403470715835141,5.397647148216346,33.563963651657104
4,1.2542207711353468,0.06630991158678455,0.14727379546359223,94.6834186443307,21.0,0.03913448115402513,0.19567240577012565,0.06522413525670855,0.1302731669435467,0.108966702859211,0.03187529083294556,0.3187529083294556,0.05795507424171921,0.17017496545660374,0.1254954008385837,0.024941833410888785,0.4988366682177757,0.04750825411597864,0.21524382508685258,0.1376272117524349,0.47360809833694867,5.129578027241504,32.1321280002594
5,1.0914395369226864,0.08011478206917946,0.17185687523254858,85.50581665891112,17.0,0.04868931285869397,0.24344656429346984,0.08114885476448995,0.1601682809942431,0.13311359288557983,0.03881650380021716,0.38816503800217156,0.07057546145494029,0.20662985829788608,0.15208230233823533,0.027850162866449514,0.5570032573289903,0.05304792926942765,0.249110766313341,0.16363671143870767,0.4762593395999036,4.914544218100928,32.70876169204712
6,0.9617449066686207,0.09275632076935009,0.19288396481823142,76.03133240266791,14.0,0.05357530634403599,0.26787653172017994,0.08929217724005997,0.18036602458315468,0.1518083346259242,0.0426787653172018,0.426787653172018,0.07759775512218509,0.2322138881319948,0.173490807832362,0.029719249263223203,0.594384985264464,0.05660809383471086,0.2745476276730472,0.18508835850285973,0.4924078091106291,4.721938544915816,33.28395986557007
7,0.8585853235436892,0.11679851093531875,0.22794274118870061,69.56367302621375,12.0,0.06548782379401272,0.3274391189700636,0.1091463729900212,0.2250594511656784,0.19131766713199938,0.04657980456026058,0.46579804560260585,0.08469055374592833,0.2695268694966316,0.20950648265096847,0.031278113851403756,0.6255622770280751,0.05957735971695954,0.3098954390357353,0.22057610384682558,0.5174740901422029,4.547912900607235,33.77399301528931
8,0.7696261613489759,0.14479602916085002,0.2645381302800403,63.944004963548934,10.0,0.07626803164262448,0.3813401582131224,0.1271133860710408,0.26875403231340467,0.23145261361873742,0.050100822087792776,0.5010082208779277,0.09109240379598686,0.30742052827083627,0.24739173628191777,0.032356134636264924,0.6471226927252985,0.061630732640504615,0.3442157900371006,0.2574117960912182,0.5403711737768137,4.401042499781875,32.1158664226532
9,0.6936976705256073,0.17442221188149526,0.29426537426382476,58.96044671940437,9.0,0.08129362494183341,0.40646812470916704,0.13548937490305568,0.2973863111326816,0.2611783258363063,0.05301690708856832,0.5301690708856832,0.09639437652466967,0.33719727586771864,0.27749747021501325,0.033965410268341864,0.6793082053668373,0.0646960195587464,0.37480764300423186,0.2877696546111692,0.5533863581585924,4.24955159230659,32.039326190948486
10,0.6267223849272131,0.2125019388863037,0.32041198012767874,55.28447339847991,8.0,0.08509384209709943,0.42546921048549713,0.14182307016183235,0.32184916376847794,0.28772814228840293,0.054622304948037846,0.5462230494803785,0.09931328172370517,0.36088493935817056,0.30382951588163315,0.034876686831084226,0.6975337366216845,0.06643178444016043,0.39893319554153817,0.3141619168476105,0.5835140997830802,4.14106402331329,33.60253882408142
